Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec,CONF,P_five,Pos,RAS,AllTime
2019,2,32,64,D.K. Metcalf,SEAHAWKS,WR,Mississippi,646,7,49,SEC,1,NA,NA,NA
2019,3,2,66,Diontae Johnson,STEELERS,WR,Toledo,1278,13,74,MAC,0,WR,4.18,4.34
2019,3,3,67,Jalen Hurd,49ERS,WR,Baylor,946,4,69,B12,1,WR,8.21,8.3
2019,3,12,76,Terry McLaurin,TEAM,WR,Ohio State,701,11,35,B10,1,WR,9.56,9.57
2019,3,29,93,Miles Boykin,RAVENS,WR,Notre Dame,872,8,59,ACC,1,WR,9.94,9.95
2019,4,1,103,Hakeem Butler,CARDINALS,WR,Iowa State,1318,9,60,NA,0,WR,9.47,9.5
2019,4,18,120,Gary Jennings,SEAHAWKS,WR,West Virginia,917,13,54,B12,1,WR,9.04,9.08
2019,4,24,126,Riley Ridley,BEARS,WR,Georgia,570,9,44,SEC,1,WR,4.54,4.69
2019,5,11,149,Hunter Renfrow,RAIDERS,WR,Clemson,602,6,60,ACC,1,WR,2.91,3.06
2019,5,26,164,EJ Speed,COLTS,WR,Tarleton State,NA,NA,NA,NA,0,NA,NA,NA
2019,5,33,171,Darius Slayton,GIANTS,WR,Auburn,670,10,35,SEC,1,WR,8.91,8.97
2020,1,12,12,Henry Ruggs,RAIDERS,WR,Alabama,NA,NA,NA,SEC,1,NA,NA,NA
2020,1,15,15,Jerry Jeudy,BRONCOS,WR,Alabama,1315,14,68,SEC,1,WR,6.76,6.75
2020,1,17,17,CeeDee Lamb,COWBOYS,WR,Oklahoma,1327,14,62,B12,1,WR,7.44,7.43
2020,1,21,21,Jalen Reagor,EAGLES,WR,Texas Christian,1061,9,72,B12,1,WR,6.04,6.11
2020,1,22,22,Justin Jefferson,VIKINGS,WR,Louisiana State,1540,18,111,SEC,1,WR,9.69,9.68
2020,1,25,25,Brandon Aiyuk,49ERS,WR,Arizona State,1192,16,65,P12,1,WR,8.46,8.46
2020,2,1,33,Tee Higgins,BENGALS,WR,Clemson,1167,13,59,ACC,1,WR,4.13,4.08
2020,2,2,34,Michael Pittman,COLTS,WR,USC,NA,NA,NA,P12,1,NA,NA,NA
2020,2,10,42,Laviska Shenault,JAGUARS,WR,Colorado,NA,NA,NA,P12,1,NA,NA,NA
2020,2,14,46,KJ Hamler,BRONCOS,WR,Penn State,904,8,56,B10,1,NA,NA,NA
2020,2,17,49,Chase Claypool,STEELERS,WR,Notre Dame,1037,13,66,ACC,1,WR,9.98,9.99
2020,2,25,57,Van Jefferson,RAMS,WR,Florida,NA,NA,NA,SEC,1,WR,NA,NA
2020,2,27,59,Denzel Mims,JETS,WR,Baylor,1087,8,61,B12,1,WR,9.77,9.78
2020,3,2,66,Antonio Gibson,TEAM,WR,Memphis,735,8,38,Amer,0,WR,9.29,9.31
2020,3,16,80,Lynn Bowden,RAIDERS,WR,Kentucky,NA,NA,NA,SEC,1,NA,NA,NA
2020,3,17,81,Bryan Edwards,RAIDERS,WR,South Carolina,846,7,55,SEC,1,WR,NA,NA
2020,3,28,92,Devin Duvernay,RAVENS,WR,Texas,1386,9,106,B12,1,WR,7.86,7.92
2020,4,22,128,Gabriel Davis,BILLS,WR,Central Florida,1241,12,72,NP5,0,WR,6.85,6.91
2020,4,36,142,Antonio Gandy-Golden,TEAM,WR,Liberty,1396,10,79,ASun,0,WR,6.13,6.17
2020,5,5,151,Joe Reed,CHARGERS,WR,Virginia,679,7,77,ACC,1,WR,9.35,9.33
2020,5,15,161,Tyler Johnson,BUCCANEERS,WR,Minnesota,NA,NA,NA,B10,1,WR,NA,NA
2020,5,19,165,Collin Johnson,JAGUARS,WR,Texas,985,7,68,B12,1,WR,NA,NA
